ID,Resume_str,Category,Sub_domain,Degree_level,Experience,Skills,Sector
3f2dcf93,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 5 years of experience in Cybersecurity.
    Education: Master's in Computer Science & Engineering (CSE).
    
    Key Skills: Problem Solving, Management
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Cybersecurity and Problem Solving.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Cybersecurity framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Cybersecurity,Master's,5,"Problem Solving, Management",Industrial/Tech
67749193,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 15 years of experience in Cloud Computing.
    Education: Diploma in Computer Science & Engineering (CSE).
    
    Key Skills: Problem Solving, Management
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Cloud Computing and Problem Solving.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Cloud Computing framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Cloud Computing,Diploma,15,"Problem Solving, Management",Industrial/Tech
8d8ae744,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 5 years of experience in Full Stack Development.
    Education: Diploma in Computer Science & Engineering (CSE).
    
    Key Skills: React, Node.js, JavaScript, MongoDB, REST APIs, Docker, AWS
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Full Stack Development and React.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Full Stack Development framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Full Stack Development,Diploma,5,"React, Node.js, JavaScript, MongoDB, REST APIs, Docker, AWS",Industrial/Tech
949481a0,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 7 years of experience in Full Stack Development.
    Education: Bachelor's in Computer Science & Engineering (CSE).
    
    Key Skills: React, Node.js, JavaScript, MongoDB, REST APIs, Docker, AWS
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Full Stack Development and React.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Full Stack Development framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Full Stack Development,Bachelor's,7,"React, Node.js, JavaScript, MongoDB, REST APIs, Docker, AWS",Industrial/Tech
1b092a97,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 3 years of experience in Cloud Computing.
    Education: Master's in Computer Science & Engineering (CSE).
    
    Key Skills: Problem Solving, Management
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Cloud Computing and Problem Solving.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Cloud Computing framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Cloud Computing,Master's,3,"Problem Solving, Management",Industrial/Tech
833f0f04,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 5 years of experience in AI/Machine Learning.
    Education: Master's in Computer Science & Engineering (CSE).
    
    Key Skills: Python, PyTorch, TensorFlow, Scikit-learn, Neural Networks, NLP, Computer Vision
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving AI/Machine Learning and Python.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of AI/Machine Learning framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),AI/Machine Learning,Master's,5,"Python, PyTorch, TensorFlow, Scikit-learn, Neural Networks, NLP, Computer Vision",Industrial/Tech
27bfb17c,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 14 years of experience in Data Science.
    Education: Professional Certification in Computer Science & Engineering (CSE).
    
    Key Skills: R, SQL, Pandas, Tableau, Big Data, Statistical Modeling, Feature Engineering
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Data Science and R.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Data Science framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Data Science,Professional Certification,14,"R, SQL, Pandas, Tableau, Big Data, Statistical Modeling, Feature Engineering",Industrial/Tech
eeaadd01,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 7 years of experience in Cloud Computing.
    Education: Bachelor's in Computer Science & Engineering (CSE).
    
    Key Skills: Problem Solving, Management
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Cloud Computing and Problem Solving.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Cloud Computing framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Cloud Computing,Bachelor's,7,"Problem Solving, Management",Industrial/Tech
90b07c13,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 1 years of experience in Cybersecurity.
    Education: Diploma in Computer Science & Engineering (CSE).
    
    Key Skills: Problem Solving, Management
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Cybersecurity and Problem Solving.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Cybersecurity framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Cybersecurity,Diploma,1,"Problem Solving, Management",Industrial/Tech
e7bd033f,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 4 years of experience in AI/Machine Learning.
    Education: Professional Certification in Computer Science & Engineering (CSE).
    
    Key Skills: Python, PyTorch, TensorFlow, Scikit-learn, Neural Networks, NLP, Computer Vision
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving AI/Machine Learning and Python.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of AI/Machine Learning framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),AI/Machine Learning,Professional Certification,4,"Python, PyTorch, TensorFlow, Scikit-learn, Neural Networks, NLP, Computer Vision",Industrial/Tech
621a0029,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 1 years of experience in Cloud Computing.
    Education: Professional Certification in Computer Science & Engineering (CSE).
    
    Key Skills: Problem Solving, Management
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Cloud Computing and Problem Solving.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Cloud Computing framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Cloud Computing,Professional Certification,1,"Problem Solving, Management",Industrial/Tech
2314f841,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 4 years of experience in Data Science.
    Education: Diploma in Computer Science & Engineering (CSE).
    
    Key Skills: R, SQL, Pandas, Tableau, Big Data, Statistical Modeling, Feature Engineering
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving Data Science and R.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of Data Science framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),Data Science,Diploma,4,"R, SQL, Pandas, Tableau, Big Data, Statistical Modeling, Feature Engineering",Industrial/Tech
6ee0e1be,"Professional Profile
    Computer Science & Engineering (CSE) specialist with 4 years of experience in AI/Machine Learning.
    Education: Master's in Computer Science & Engineering (CSE).
    
    Key Skills: Python, PyTorch, TensorFlow, Scikit-learn, Neural Networks, NLP, Computer Vision
    
    Work Experience:
    Senior Engineer at Global Tech Corp.
    - Led projects involving AI/Machine Learning and Python.
    - Optimized processes resulting in 20% efficiency gain.
    - Mentored junior staff and managed cross-functional teams.
    
    Projects:
    Implementation of AI/Machine Learning framework for industrial scale.
    Certifications: Professional Computer Science & Engineering (CSE) Certification.",Computer Science & Engineering (CSE),AI/Machine Learning,Master's,4,"Python, PyTorch, TensorFlow, Scikit-learn, Neural Networks, NLP, Computer Vision",Industrial/Tech
